participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.a1,player.a2,player.a3,player.a4,player.a5,player.a6,player.a7,player.a8,player.a9,player.a10,player.a11,player.b1,player.b2,player.b3,player.b4,player.b5,player.b6,player.b7,player.b8,player.b9,player.b10,player.b11,player.training,player.game_type,player.x1G,player.x2G,player.unknown_prob_G,player.t1G,player.t2G,player.x1B,player.x2B,player.unknown_prob_B,player.t1B,player.t2B,player.payoff,group.id_in_subsession,subsession.round_number,subsession.training_round,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,10,5,5,5,5,9,7,7,7,10,10,,,,,,,,,,,,,risky_setup_1,2.5,0.3,0,8,4,0,0,0,0,0,0,1,17,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,8,4,4,4,4,6,5,5,5,5,5,,,,,,,,,,,,,risky_setup_1,3,0.2,0,9,5,0,0,0,0,0,0,1,18,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,8,4,4,4,4,5,5,5,5,6,0,,,,,,,,,,,,,risky_setup_1,3.5,0.1,0,10,6,0,0,0,0,0,0,1,19,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,8,4,4,4,4,5,5,7,7,7,10,,,,,,,,,,,,,risky_setup_1,1.5,0.5,0,6,2,0,0,0,0,0,0,1,20,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,6,4,4,4,4,7,5,5,5,5,7,,,,,,,,,,,,,risky_setup_1,2,0.4,0,7,3,0,0,0,0,0,0,1,21,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,6,5,5,5,5,7,6,6,6,6,10,,,,,,,,,,,,,risky_setup_1,2.5,0.3,0,8,4,0,0,0,0,0,0,1,22,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,5,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,risky_setup_1,3,0.2,0,9,5,0,0,0,0,0,0,1,23,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,5,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,risky_setup_1,3.5,0.1,0,10,6,0,0,0,0,0,0,1,24,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,5,5,5,4,4,8,9,8,7,7,10,4,4,4,4,4,8,9,8,7,8,15,,risky_setup_2,1.5,0.5,0,6,2,1.6,0.4,0,8,1,0,1,25,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,5,4,4,3,2,2,2,2,2,2,5,4,3,3,3,2,2,2,2,2,2,20,,risky_setup_2,2,0.4,0,7,3,2.1,0.3,0,9,2,0,1,26,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,2,3,3,3,3,4,4,4,4,6,7,2,2,2,2,2,4,5,4,5,6,8,,risky_setup_2,1.5,0.5,0,6,2,1.6,0.4,0,8,1,0,1,27,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,5,2,2,2,2,4,4,4,4,4,4,5,3,3,3,3,4,4,4,4,4,5,,risky_setup_2,2,0.4,0,7,3,2.1,0.3,0,9,2,0,1,28,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,5,0,0,0,0,5,4,3,4,5,7,5,0,0,0,0,5,4,3,4,5,7,,risky_setup_2,2.5,0.3,0,8,4,2.6,0.2,0,10,3,0,1,29,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,3,0,0,0,0,5,2,2,2,3,5,0,0,0,0,0,5,2,2,2,3,4,,risky_setup_2,3,0.2,0,9,5,3.1,0.1,0,11,4,0,1,30,,zev7dscf,,,,,,0
